year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2030,1368.0,515.0,1883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1883.0,-1883.0,-1883.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.9785286000000001,0.2795796,0.0,1.2581082000000001,0.0,0.0,0.0,0.0,False
2031,2736.0,30.000000000000004,2766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2766.0,-2766.0,-2766.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.9570572000000002,0.5591592,0.0,2.5162164000000002,0.0,0.0,0.0,0.0,False
2032,3420.0,37.5,3457.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3457.5,-3457.5,-3457.5,,0.0,0.0,0.0,0.0,0.0,0.0,2.4463215,0.6989489999999999,0.0,3.1452704999999996,0.0,0.0,0.0,0.0,False
2033,2508.0,27.5,2535.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2535.5,-2535.5,-2535.5,,0.0,0.0,0.0,0.0,0.0,0.0,1.7939691,0.5125626,0.0,2.3065317,0.0,0.0,0.0,0.0,False
2034,1368.0,565.0,1933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1933.0,-1933.0,-1933.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.9785286000000001,0.2795796,0.0,1.2581082000000001,0.0,0.0,0.0,0.0,False
2035,0.0,0.0,0.0,2470320.0,988.1279999999999,0.0,0.0,0.0,76.57992,0.0,0.0,27.17352,0.0,0.0,64.22832,234.0,59.129999999999995,45.6,4.94064,0.0,52.2,988.1279999999999,511.6524,476.47559999999993,977.7062500000001,0.0,-501.23065000000014,0.0,0.0,0.0,0.0,-501.23065000000014,0.0,476.47559999999993,476.47559999999993,476.47559999999993,,22.8,22.8,0.0,0.0,0.0,6.995713147410357,1.5702373505976095,0.4486392430278883,0.07851186752988047,47.697388461155384,0.0,64.22832,0.0,0.0,True
2036,0.0,0.0,0.0,2368800.0,937.7735146182279,0.0,0.0,0.0,73.4328,0.0,0.0,26.0568,0.0,0.0,61.5888,234.0,59.129999999999995,45.6,4.688867573091139,0.0,52.2,937.7735146182279,504.49726757309116,433.2762470451367,977.7062500000001,0.0,-544.4300029548633,0.0,0.0,0.0,0.0,-544.4300029548633,0.0,433.2762470451367,433.2762470451367,433.2762470451367,,22.8,22.8,0.0,0.0,0.0,6.995713147410357,1.5702373505976095,0.4486392430278883,0.07851186752988047,47.697388461155384,0.0,61.5888,0.0,0.0,True
2037,0.0,0.0,0.0,2368800.0,933.0248783589885,0.0,0.0,0.0,73.4328,0.0,0.0,26.0568,0.0,0.0,61.5888,234.0,59.129999999999995,45.6,4.665124391794943,0.0,52.2,933.0248783589885,504.47352439179497,428.55135396719356,977.7062500000001,0.0,-549.1548960328065,0.0,0.0,0.0,0.0,-549.1548960328065,0.0,428.55135396719356,428.55135396719356,428.55135396719356,,22.8,22.8,0.0,0.0,0.0,6.995713147410357,1.5702373505976095,0.4486392430278883,0.07851186752988047,47.697388461155384,0.0,61.5888,0.0,0.0,True
2038,0.0,0.0,0.0,2549160.0,1004.3690399999999,0.0,0.0,0.0,79.02396,0.0,0.0,28.04076,0.0,0.0,66.27816,156.0,59.129999999999995,45.6,5.0218452,0.0,52.2,1004.3690399999999,439.09472519999997,565.2743148,977.7062500000001,0.0,-412.4319352000001,0.0,0.0,0.0,0.0,-412.4319352000001,0.0,565.2743148,565.2743148,565.2743148,,22.8,22.8,0.0,0.0,0.0,6.995713147410357,1.5702373505976095,0.4486392430278883,0.07851186752988047,47.697388461155384,0.0,66.27816,0.0,0.0,True
2039,0.0,0.0,0.0,2444400.0,953.0030233170907,0.0,0.0,0.0,75.7764,0.0,0.0,26.888399999999997,0.0,0.0,63.554399999999994,156.0,59.129999999999995,45.6,4.765015116585453,0.0,52.2,953.0030233170907,431.7142151165855,521.2888082005052,977.7062500000001,0.0,-456.4174417994949,0.0,0.0,0.0,0.0,-456.4174417994949,0.0,521.2888082005052,521.2888082005052,521.2888082005052,,22.8,22.8,0.0,0.0,0.0,6.995713147410357,1.5702373505976095,0.4486392430278883,0.07851186752988047,47.697388461155384,0.0,63.554399999999994,0.0,0.0,True
